module_code,xbrl_schema_ref,from_date,to_date,version
COREP_OF_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-03-31/mod/corep_of_con.json,30-Dec-18,30-Dec-18,2.3.1
COREP_OF_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-03-31/mod/corep_of_ind.json,30-Dec-18,30-Dec-18,2.3.1
FINREP9_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014/2018-03-31/mod/finrep9_con_gaap.json,31-Dec-18,29-Jun-20,2.2.2
FINREP9_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014/2018-03-31/mod/finrep9_con_ifrs.json,31-Dec-18,29-Jun-20,2.2.2
FP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/fp/gl-2014-04/2018-03-31/mod/fp_con.json,31-Dec-18,30-Dec-20,1.0.6
FP_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/fp/gl-2014-04/2018-03-31/mod/fp_ind.json,31-Dec-18,30-Dec-20,1.0.6
SBPIMV_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2018-03-31/mod/sbpimv_con.json,31-Dec-18,29-Sep-19,1.0.5
SBPIMV_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2018-03-31/mod/sbpimv_ind.json,31-Dec-18,29-Sep-19,1.0.5
SBP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2018-03-31/mod/sbp_con.json,31-Dec-18,29-Sep-19,1.0.5
SBP_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2018-03-31/mod/sbp_ind.json,31-Dec-18,29-Sep-19,1.0.5
FINREP9_Ind_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014-ind/2018-03-31/mod/finrep9_ind_gaap.json,31-Dec-18,29-Jun-20,2.2.2
FINREP9_Ind_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014-ind/2018-03-31/mod/finrep9_ind_ifrs.json,31-Dec-18,29-Jun-20,2.2.2
RESOL,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/res/cp-2017-15/2018-03-31/mod/resol.json,30-Dec-18,30-Dec-18,1.0.0
RESOL,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/res/cp-2017-15/2018-07-31/mod/resol.json,31-Dec-18,30-Dec-19,1.0.1
COREP_ALM_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_alm_con.json,31-Dec-18,29-Apr-20,2.3.2
COREP_ALM_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_alm_ind.json,31-Dec-18,29-Apr-20,2.3.2
COREP_LCR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_lcr_con.json,31-Dec-18,29-Apr-20,2.3.2
